order_id,delivered_time,packing_time
54,2025-06-21 08:49:40,2025-06-21 08:32:20
154,2025-06-21 09:39:20,2025-06-21 09:23:00
305,2025-06-21 10:27:20,2025-06-21 10:11:20
362,2025-06-21 11:10:20,2025-06-21 10:54:20
415,2025-06-21 11:59:40,2025-06-21 11:41:00
665,2025-06-21 12:44:00,2025-06-21 12:27:20
9,2025-06-21 08:49:40,2025-06-21 08:31:20
129,2025-06-21 09:36:40,2025-06-21 09:20:40
165,2025-06-21 10:25:40,2025-06-21 10:08:40
174,2025-06-21 11:12:40,2025-06-21 10:55:40
437,2025-06-21 12:00:00,2025-06-21 11:43:20
642,2025-06-21 12:45:00,2025-06-21 12:29:00
636,2025-06-21 08:41:00,2025-06-21 08:25:00
85,2025-06-21 08:45:40,2025-06-21 08:29:20
375,2025-06-21 09:29:40,2025-06-21 09:15:40
589,2025-06-21 10:17:40,2025-06-21 10:01:40
603,2025-06-21 11:07:20,2025-06-21 10:50:00
120,2025-06-21 08:40:00,2025-06-21 08:23:00
168,2025-06-21 09:23:00,2025-06-21 09:07:00
366,2025-06-21 10:07:40,2025-06-21 09:52:20
414,2025-06-21 10:56:20,2025-06-21 10:39:00
23,2025-06-21 08:46:40,2025-06-21 08:29:20
76,2025-06-21 09:36:40,2025-06-21 09:19:40
317,2025-06-21 10:20:40,2025-06-21 10:04:40
352,2025-06-21 11:08:20,2025-06-21 10:52:00
582,2025-06-21 11:55:40,2025-06-21 11:40:00
292,2025-06-21 08:47:00,2025-06-21 08:30:00
343,2025-06-21 09:30:20,2025-06-21 09:14:40
364,2025-06-21 10:18:20,2025-06-21 10:01:20
543,2025-06-21 11:05:00,2025-06-21 10:48:40
46,2025-06-21 08:53:00,2025-06-21 08:34:00
92,2025-06-21 09:38:20,2025-06-21 09:20:40
199,2025-06-21 10:25:40,2025-06-21 10:10:00
311,2025-06-21 11:12:00,2025-06-21 10:55:20
323,2025-06-21 11:51:20,2025-06-21 11:36:40
409,2025-06-21 12:38:00,2025-06-21 12:20:40
117,2025-06-21 08:39:00,2025-06-21 08:22:00
127,2025-06-21 09:27:20,2025-06-21 09:08:40
