order_id,delivered_time,packing_time
1445,2025-06-23 08:34:40,2025-06-23 08:17:20
1447,2025-06-23 09:20:20,2025-06-23 09:03:00
1523,2025-06-23 10:08:20,2025-06-23 09:52:20
1673,2025-06-23 10:58:20,2025-06-23 10:41:20
1705,2025-06-23 11:40:40,2025-06-23 11:24:00
2051,2025-06-23 12:23:00,2025-06-23 12:07:20
2089,2025-06-23 13:09:00,2025-06-23 12:53:00
2111,2025-06-23 13:50:00,2025-06-23 13:35:00
1697,2025-06-23 08:36:20,2025-06-23 08:20:40
1704,2025-06-23 09:20:00,2025-06-23 09:03:40
1863,2025-06-23 10:06:40,2025-06-23 09:49:20
1879,2025-06-23 10:53:20,2025-06-23 10:37:00
1949,2025-06-23 11:35:00,2025-06-23 11:19:40
2014,2025-06-23 12:15:00,2025-06-23 12:01:00
2036,2025-06-23 08:34:00,2025-06-23 08:18:00
2066,2025-06-23 09:17:20,2025-06-23 09:02:40
2125,2025-06-23 10:00:40,2025-06-23 09:45:00
1466,2025-06-23 08:48:00,2025-06-23 08:30:00
1569,2025-06-23 09:38:40,2025-06-23 09:20:20
1573,2025-06-23 10:20:00,2025-06-23 10:03:20
1877,2025-06-23 10:59:00,2025-06-23 10:45:00
1915,2025-06-23 11:40:00,2025-06-23 11:24:00
1919,2025-06-23 12:29:20,2025-06-23 12:12:40
1937,2025-06-23 13:16:00,2025-06-23 13:00:40
1971,2025-06-23 14:05:00,2025-06-23 13:46:00
1992,2025-06-23 14:54:00,2025-06-23 14:37:00
2042,2025-06-23 15:40:20,2025-06-23 15:24:40
1476,2025-06-23 08:43:20,2025-06-23 08:27:40
1816,2025-06-23 09:28:20,2025-06-23 09:13:20
1952,2025-06-23 10:13:20,2025-06-23 09:57:20
2029,2025-06-23 10:56:40,2025-06-23 10:40:00
2037,2025-06-23 11:40:40,2025-06-23 11:24:40
2058,2025-06-23 12:29:40,2025-06-23 12:12:40
2187,2025-06-23 13:12:00,2025-06-23 12:56:20
2196,2025-06-23 13:59:20,2025-06-23 13:40:40
1471,2025-06-23 08:45:00,2025-06-23 08:28:00
1522,2025-06-23 09:27:00,2025-06-23 09:11:00
1568,2025-06-23 10:15:40,2025-06-23 09:59:20
1732,2025-06-23 10:58:00,2025-06-23 10:41:20
2028,2025-06-23 11:43:00,2025-06-23 11:27:00
2109,2025-06-23 12:29:00,2025-06-23 12:13:00
1580,2025-06-23 08:40:00,2025-06-23 08:25:00
1662,2025-06-23 09:28:00,2025-06-23 09:12:00
1675,2025-06-23 10:12:40,2025-06-23 09:56:20
1701,2025-06-23 11:04:00,2025-06-23 10:45:20
1714,2025-06-23 11:50:20,2025-06-23 11:32:40
1840,2025-06-23 12:34:20,2025-06-23 12:17:20
1484,2025-06-23 08:28:40,2025-06-23 08:14:20
1583,2025-06-23 09:10:20,2025-06-23 08:55:00
1773,2025-06-23 09:54:40,2025-06-23 09:39:00
1777,2025-06-23 10:40:20,2025-06-23 10:22:00
1900,2025-06-23 11:30:20,2025-06-23 11:12:20
1453,2025-06-23 08:34:00,2025-06-23 08:18:00
1589,2025-06-23 09:21:20,2025-06-23 09:05:40
1620,2025-06-23 10:05:40,2025-06-23 09:50:00
1665,2025-06-23 10:54:20,2025-06-23 10:39:00
1679,2025-06-23 11:42:20,2025-06-23 11:25:20
1707,2025-06-23 12:21:00,2025-06-23 12:06:40
1726,2025-06-23 13:03:00,2025-06-23 12:47:00
2142,2025-06-23 13:52:00,2025-06-23 13:35:00
2151,2025-06-23 14:34:40,2025-06-23 14:18:20
2174,2025-06-23 15:23:40,2025-06-23 15:05:40
2217,2025-06-23 16:07:40,2025-06-23 15:51:40
1680,2025-06-23 08:43:00,2025-06-23 08:24:00
1794,2025-06-23 09:28:40,2025-06-23 09:11:20
1821,2025-06-23 10:13:00,2025-06-23 09:55:20
1866,2025-06-23 10:56:40,2025-06-23 10:41:20
1970,2025-06-23 11:42:40,2025-06-23 11:26:40
1994,2025-06-23 12:33:00,2025-06-23 12:15:20
2020,2025-06-23 13:16:20,2025-06-23 13:01:40
2106,2025-06-23 13:57:40,2025-06-23 13:42:00
2120,2025-06-23 14:39:20,2025-06-23 14:24:00
2150,2025-06-23 15:28:40,2025-06-23 15:12:00
1663,2025-06-23 08:40:20,2025-06-23 08:24:40
1782,2025-06-23 09:29:20,2025-06-23 09:10:20
1683,2025-06-23 08:37:40,2025-06-23 08:21:20
1686,2025-06-23 09:23:40,2025-06-23 09:05:40
1843,2025-06-23 10:08:00,2025-06-23 09:52:20
1888,2025-06-23 10:52:00,2025-06-23 10:35:00
2026,2025-06-23 11:35:40,2025-06-23 11:19:20
1511,2025-06-23 08:44:20,2025-06-23 08:28:40
2071,2025-06-23 09:30:00,2025-06-23 09:12:40
2084,2025-06-23 10:17:20,2025-06-23 10:00:40
2175,2025-06-23 11:03:20,2025-06-23 10:48:20
2198,2025-06-23 11:50:20,2025-06-23 11:32:20
1548,2025-06-23 08:43:00,2025-06-23 08:27:00
1736,2025-06-23 09:25:20,2025-06-23 09:09:40
1754,2025-06-23 10:11:20,2025-06-23 09:55:20
1830,2025-06-23 10:55:20,2025-06-23 10:39:20
2064,2025-06-23 11:41:00,2025-06-23 11:25:40
2068,2025-06-23 12:29:00,2025-06-23 12:12:00
2169,2025-06-23 13:14:00,2025-06-23 12:57:00
1566,2025-06-23 08:46:20,2025-06-23 08:30:40
1752,2025-06-23 09:32:40,2025-06-23 09:14:00
1990,2025-06-23 10:20:40,2025-06-23 10:01:40
2078,2025-06-23 11:03:00,2025-06-23 10:47:20
2141,2025-06-23 11:46:00,2025-06-23 11:30:00
2152,2025-06-23 12:35:20,2025-06-23 12:17:40
1074,2025-06-23 08:09:00,
1537,2025-06-23 08:51:20,2025-06-23 08:34:40
1804,2025-06-23 09:40:00,2025-06-23 09:23:40
1807,2025-06-23 10:22:40,2025-06-23 10:08:20
1827,2025-06-23 11:07:20,2025-06-23 10:51:00
2025,2025-06-23 11:53:20,2025-06-23 11:39:20
2087,2025-06-23 12:41:00,2025-06-23 12:24:40
1551,2025-06-23 08:47:40,2025-06-23 08:30:20
1576,2025-06-23 09:32:00,2025-06-23 09:17:20
1861,2025-06-23 10:14:40,2025-06-23 10:00:20
1929,2025-06-23 10:59:40,2025-06-23 10:43:40
1133,2025-06-23 08:14:00,
1627,2025-06-23 08:59:00,2025-06-23 08:43:00
1832,2025-06-23 09:42:40,2025-06-23 09:27:20
2017,2025-06-23 10:22:20,2025-06-23 10:07:00
1459,2025-06-23 08:36:40,2025-06-23 08:21:20
1520,2025-06-23 09:21:40,2025-06-23 09:06:40
1647,2025-06-23 10:08:00,2025-06-23 09:52:20
1792,2025-06-23 10:53:20,2025-06-23 10:36:40
2016,2025-06-23 11:41:40,2025-06-23 11:25:00
1448,2025-06-23 08:49:00,2025-06-23 08:32:00
1721,2025-06-23 08:46:20,2025-06-23 08:28:40
2083,2025-06-23 09:36:00,2025-06-23 09:18:40
2180,2025-06-23 10:22:20,2025-06-23 10:04:40
1666,2025-06-23 08:37:20,2025-06-23 08:22:40
1834,2025-06-23 09:24:00,2025-06-23 09:05:40
2138,2025-06-23 10:10:40,2025-06-23 09:53:20
1550,2025-06-23 08:35:00,2025-06-23 08:19:00
1000,2025-06-23 08:18:40,2025-06-23 08:03:00
1513,2025-06-23 09:01:20,2025-06-23 08:47:00
1749,2025-06-23 09:45:40,2025-06-23 09:28:00
1772,2025-06-23 10:34:40,2025-06-23 10:16:40
2140,2025-06-23 11:17:00,2025-06-23 11:01:20
2211,2025-06-23 11:59:40,2025-06-23 11:44:20
1487,2025-06-23 08:44:40,2025-06-23 08:27:20
1645,2025-06-23 09:25:40,2025-06-23 09:11:40
2021,2025-06-23 10:13:40,2025-06-23 09:57:40
2195,2025-06-23 10:58:20,2025-06-23 10:42:00
1539,2025-06-23 08:44:40,2025-06-23 08:29:20
1571,2025-06-23 09:29:00,2025-06-23 09:14:20
1591,2025-06-23 10:14:00,2025-06-23 09:57:00
1600,2025-06-23 11:01:00,2025-06-23 10:44:00
1671,2025-06-23 11:44:20,2025-06-23 11:29:40
1689,2025-06-23 12:33:40,2025-06-23 12:16:00
1708,2025-06-23 13:15:40,2025-06-23 13:01:40
1760,2025-06-23 14:03:00,2025-06-23 13:45:20
1800,2025-06-23 14:46:20,2025-06-23 14:29:40
1805,2025-06-23 15:34:40,2025-06-23 15:17:00
1809,2025-06-23 16:16:40,2025-06-23 16:02:40
2107,2025-06-23 17:02:20,2025-06-23 16:45:00
2127,2025-06-23 17:54:20,2025-06-23 17:36:20
2130,2025-06-23 18:40:40,2025-06-23 18:25:00
2137,2025-06-23 19:25:00,2025-06-23 19:08:20
1507,2025-06-23 08:40:40,2025-06-23 08:23:20
1614,2025-06-23 09:26:00,2025-06-23 09:09:20
1846,2025-06-23 10:17:00,2025-06-23 09:59:00
1908,2025-06-23 10:58:00,2025-06-23 10:44:00
1975,2025-06-23 11:48:00,2025-06-23 11:30:00
1978,2025-06-23 12:34:20,2025-06-23 12:18:40
2166,2025-06-23 13:15:00,2025-06-23 12:59:40
2177,2025-06-23 14:02:40,2025-06-23 13:45:20
1633,2025-06-23 08:43:40,2025-06-23 08:26:20
2063,2025-06-23 09:30:00,2025-06-23 09:12:20
2076,2025-06-23 10:17:40,2025-06-23 10:01:20
2188,2025-06-23 11:05:40,2025-06-23 10:48:40
2201,2025-06-23 11:53:40,2025-06-23 11:34:40
2206,2025-06-23 12:46:00,2025-06-23 12:27:20
972,2025-06-23 08:22:20,2025-06-23 08:07:00
1504,2025-06-23 09:12:00,2025-06-23 08:53:40
1528,2025-06-23 09:54:40,2025-06-23 09:38:20
1565,2025-06-23 10:42:40,2025-06-23 10:25:40
1676,2025-06-23 11:32:00,2025-06-23 11:16:20
1709,2025-06-23 12:15:20,2025-06-23 11:59:40
1796,2025-06-23 13:02:20,2025-06-23 12:47:20
1824,2025-06-23 13:45:40,2025-06-23 13:30:00
1844,2025-06-23 14:32:40,2025-06-23 14:14:40
2098,2025-06-23 15:15:00,2025-06-23 14:58:20
1820,2025-06-23 08:34:40,2025-06-23 08:18:20
1921,2025-06-23 09:25:00,2025-06-23 09:08:20
1973,2025-06-23 10:14:40,2025-06-23 09:57:20
2209,2025-06-23 11:04:00,2025-06-23 10:46:20
1472,2025-06-23 08:35:40,2025-06-23 08:18:20
1578,2025-06-23 09:19:40,2025-06-23 09:02:40
1624,2025-06-23 10:04:20,2025-06-23 09:49:00
1628,2025-06-23 10:52:20,2025-06-23 10:34:20
1655,2025-06-23 11:41:00,2025-06-23 11:24:40
1755,2025-06-23 12:29:20,2025-06-23 12:10:40
1928,2025-06-23 13:11:20,2025-06-23 12:55:20
2181,2025-06-23 14:01:40,2025-06-23 13:44:00
1508,2025-06-23 08:47:40,2025-06-23 08:30:20
1597,2025-06-23 09:31:20,2025-06-23 09:16:00
1651,2025-06-23 10:19:40,2025-06-23 10:03:00
1858,2025-06-23 11:01:20,2025-06-23 10:46:00
1957,2025-06-23 11:51:00,2025-06-23 11:33:40
2156,2025-06-23 12:35:40,2025-06-23 12:21:20
2183,2025-06-23 13:22:20,2025-06-23 13:06:00
1454,2025-06-23 08:45:40,2025-06-23 08:31:20
1460,2025-06-23 09:34:00,2025-06-23 09:16:20
1637,2025-06-23 10:15:00,2025-06-23 10:00:00
1770,2025-06-23 11:00:00,2025-06-23 10:43:00
1893,2025-06-23 11:51:40,2025-06-23 11:34:20
1913,2025-06-23 12:33:00,2025-06-23 12:16:20
1464,2025-06-23 08:44:40,2025-06-23 08:28:20
1592,2025-06-23 09:28:20,2025-06-23 09:14:00
1613,2025-06-23 10:09:40,2025-06-23 09:55:00
1682,2025-06-23 10:56:20,2025-06-23 10:38:00
1951,2025-06-23 11:42:20,2025-06-23 11:26:20
1965,2025-06-23 12:29:40,2025-06-23 12:12:00
1986,2025-06-23 13:17:40,2025-06-23 12:59:40
2004,2025-06-23 14:08:40,2025-06-23 13:50:40
2065,2025-06-23 14:58:40,2025-06-23 14:41:40
2081,2025-06-23 15:44:40,2025-06-23 15:27:40
2082,2025-06-23 16:31:20,2025-06-23 16:15:00
758,2025-06-23 08:05:00,
1731,2025-06-23 08:50:00,2025-06-23 08:34:00
1902,2025-06-23 09:34:00,2025-06-23 09:19:00
1943,2025-06-23 10:15:00,2025-06-23 09:59:00
1984,2025-06-23 11:02:40,2025-06-23 10:45:20
2102,2025-06-23 11:45:40,2025-06-23 11:28:40
1549,2025-06-23 08:41:20,2025-06-23 08:24:40
1839,2025-06-23 09:22:00,2025-06-23 09:06:40
1848,2025-06-23 10:11:20,2025-06-23 09:53:40
1938,2025-06-23 10:58:20,2025-06-23 10:41:20
1972,2025-06-23 11:45:40,2025-06-23 11:30:00
2005,2025-06-23 12:33:40,2025-06-23 12:15:40
2108,2025-06-23 13:24:00,2025-06-23 13:07:20
1452,2025-06-23 08:40:40,2025-06-23 08:22:20
1808,2025-06-23 09:27:40,2025-06-23 09:09:40
1930,2025-06-23 10:12:20,2025-06-23 09:55:00
1960,2025-06-23 10:56:40,2025-06-23 10:39:00
2027,2025-06-23 11:44:20,2025-06-23 11:29:00
2170,2025-06-23 12:32:20,2025-06-23 12:13:20
2190,2025-06-23 13:16:20,2025-06-23 12:58:20
2208,2025-06-23 14:05:40,2025-06-23 13:48:00
1560,2025-06-23 08:45:40,2025-06-23 08:29:20
1618,2025-06-23 09:29:40,2025-06-23 09:14:40
1664,2025-06-23 10:16:20,2025-06-23 09:59:00
1698,2025-06-23 11:05:20,2025-06-23 10:47:20
1703,2025-06-23 11:55:00,2025-06-23 11:37:40
